"id";"tanggal";"produk";"lokasi";"stok";"kualitas";"harga";"lat";"lon"
1;"2025-04-05";"Durian";"Balikpapan";363;"Bagus";40;-1.2675;116.829
2;"2025-04-27";"Pepaya";"Balikpapan";970;"Bagus";7;-1.2675;116.829
3;"2025-04-06";"Mangga";"Balikpapan";656;"Buruk";20;-1.2675;116.829
4;"2025-05-04";"Apel";"Balikpapan";622;"Buruk";23;-1.2675;116.829
5;"2025-04-12";"Jeruk";"Balikpapan";908;"Buruk";21;-1.2675;116.829
6;"2025-04-30";"Mangga";"Balikpapan";867;"Buruk";16;-1.2675;116.829
7;"2025-04-07";"Apel";"Balikpapan";237;"Sedang";28;-1.2675;116.829
8;"2025-04-05";"Rambutan";"Balikpapan";356;"Sedang";17;-1.2675;116.829
9;"2025-04-13";"Jeruk";"Balikpapan";450;"Bagus";22;-1.2675;116.829
10;"2025-05-04";"Jeruk";"Balikpapan";894;"Bagus";20;-1.2675;116.829
11;"2025-04-13";"Apel";"Balikpapan";787;"Sedang";21;-1.2675;116.829
12;"2025-05-04";"Rambutan";"Balikpapan";239;"Buruk";18;-1.2675;116.829
13;"2025-04-21";"Rambutan";"Balikpapan";408;"Buruk";13;-1.2675;116.829
14;"2025-04-04";"Rambutan";"Balikpapan";322;"Sedang";17;-1.2675;116.829
15;"2025-04-12";"Pepaya";"Balikpapan";763;"Sedang";10;-1.2675;116.829
16;"2025-04-14";"Durian";"Balikpapan";710;"Sedang";45;-1.2675;116.829
17;"2025-04-22";"Pepaya";"Balikpapan";528;"Bagus";9;-1.2675;116.829
18;"2025-04-05";"Apel";"Balikpapan";538;"Bagus";25;-1.2675;116.829
19;"2025-04-16";"Jeruk";"Balikpapan";560;"Bagus";20;-1.2675;116.829
20;"2025-04-12";"Pisang";"Balikpapan";867;"Sedang";15;-1.2675;116.829
21;"2025-04-01";"Pepaya";"Balikpapan";735;"Bagus";7;-1.2675;116.829
22;"2025-04-05";"Durian";"Balikpapan";379;"Bagus";41;-1.2675;116.829
23;"2025-04-02";"Durian";"Balikpapan";441;"Bagus";45;-1.2675;116.829
24;"2025-04-19";"Pisang";"Balikpapan";860;"Buruk";13;-1.2675;116.829
25;"2025-04-01";"Apel";"Balikpapan";240;"Bagus";29;-1.2675;116.829
26;"2025-04-24";"Jeruk";"Balikpapan";317;"Buruk";20;-1.2675;116.829
27;"2025-04-30";"Mangga";"Balikpapan";432;"Sedang";16;-1.2675;116.829
28;"2025-05-03";"Pisang";"Balikpapan";915;"Sedang";10;-1.2675;116.829
29;"2025-05-04";"Pisang";"Balikpapan";923;"Bagus";11;-1.2675;116.829
30;"2025-04-04";"Rambutan";"Balikpapan";454;"Buruk";16;-1.2675;116.829
31;"2025-04-02";"Apel";"Balikpapan";893;"Sedang";27;-1.2675;116.829
32;"2025-04-06";"Apel";"Balikpapan";599;"Bagus";29;-1.2675;116.829
33;"2025-04-15";"Apel";"Balikpapan";711;"Sedang";26;-1.2675;116.829
34;"2025-04-04";"Pepaya";"Balikpapan";526;"Bagus";10;-1.2675;116.829
35;"2025-04-30";"Mangga";"Balikpapan";208;"Buruk";15;-1.2675;116.829
36;"2025-04-30";"Rambutan";"Balikpapan";524;"Buruk";16;-1.2675;116.829
37;"2025-04-27";"Jeruk";"Balikpapan";577;"Buruk";22;-1.2675;116.829
38;"2025-04-19";"Apel";"Balikpapan";508;"Sedang";22;-1.2675;116.829
39;"2025-04-06";"Pepaya";"Balikpapan";954;"Buruk";10;-1.2675;116.829
40;"2025-04-16";"Mangga";"Balikpapan";955;"Bagus";15;-1.2675;116.829
41;"2025-04-24";"Mangga";"Balikpapan";706;"Sedang";15;-1.2675;116.829
42;"2025-04-21";"Jeruk";"Balikpapan";905;"Sedang";18;-1.2675;116.829
43;"2025-04-25";"Pepaya";"Balikpapan";773;"Buruk";10;-1.2675;116.829
44;"2025-04-09";"Pisang";"Balikpapan";450;"Buruk";15;-1.2675;116.829
45;"2025-04-08";"Rambutan";"Balikpapan";420;"Sedang";12;-1.2675;116.829
46;"2025-04-22";"Apel";"Balikpapan";599;"Bagus";30;-1.2675;116.829
47;"2025-04-20";"Rambutan";"Balikpapan";869;"Bagus";16;-1.2675;116.829
48;"2025-05-01";"Jeruk";"Balikpapan";656;"Sedang";20;-1.2675;116.829
49;"2025-04-27";"Durian";"Balikpapan";238;"Buruk";36;-1.2675;116.829
50;"2025-04-03";"Pepaya";"Balikpapan";390;"Bagus";10;-1.2675;116.829
51;"2025-04-26";"Apel";"Balikpapan";899;"Bagus";25;-1.2675;116.829
52;"2025-04-02";"Jeruk";"Balikpapan";274;"Sedang";18;-1.2675;116.829
53;"2025-04-21";"Jeruk";"Balikpapan";869;"Bagus";22;-1.2675;116.829
54;"2025-04-23";"Rambutan";"Balikpapan";443;"Buruk";17;-1.2675;116.829
55;"2025-05-01";"Mangga";"Balikpapan";658;"Sedang";19;-1.2675;116.829
56;"2025-04-06";"Durian";"Balikpapan";305;"Bagus";36;-1.2675;116.829
57;"2025-04-21";"Mangga";"Balikpapan";311;"Bagus";17;-1.2675;116.829
58;"2025-05-03";"Pisang";"Balikpapan";226;"Sedang";13;-1.2675;116.829
59;"2025-04-15";"Jeruk";"Balikpapan";563;"Buruk";20;-1.2675;116.829
60;"2025-04-01";"Rambutan";"Balikpapan";974;"Buruk";14;-1.2675;116.829
61;"2025-04-23";"Mangga";"Balikpapan";648;"Buruk";18;-1.2675;116.829
62;"2025-04-19";"Jeruk";"Balikpapan";971;"Sedang";20;-1.2675;116.829
63;"2025-04-22";"Rambutan";"Balikpapan";211;"Buruk";12;-1.2675;116.829
64;"2025-04-06";"Durian";"Balikpapan";339;"Buruk";42;-1.2675;116.829
65;"2025-05-01";"Pisang";"Balikpapan";312;"Sedang";12;-1.2675;116.829
66;"2025-04-13";"Jeruk";"Balikpapan";882;"Buruk";20;-1.2675;116.829
67;"2025-04-04";"Apel";"Balikpapan";726;"Buruk";23;-1.2675;116.829
68;"2025-04-22";"Pepaya";"Balikpapan";809;"Bagus";9;-1.2675;116.829
69;"2025-04-14";"Durian";"Balikpapan";473;"Bagus";39;-1.2675;116.829
70;"2025-04-27";"Jeruk";"Balikpapan";484;"Bagus";19;-1.2675;116.829
71;"2025-04-14";"Apel";"Balikpapan";504;"Sedang";20;-1.2675;116.829
72;"2025-04-15";"Mangga";"Balikpapan";540;"Buruk";19;-1.2675;116.829
73;"2025-04-10";"Rambutan";"Balikpapan";534;"Sedang";18;-1.2675;116.829
74;"2025-04-22";"Jeruk";"Balikpapan";750;"Buruk";18;-1.2675;116.829
75;"2025-04-22";"Durian";"Balikpapan";216;"Buruk";38;-1.2675;116.829
76;"2025-04-01";"Mangga";"Balikpapan";568;"Sedang";15;-1.2675;116.829
77;"2025-04-07";"Durian";"Balikpapan";919;"Bagus";36;-1.2675;116.829
78;"2025-04-20";"Pepaya";"Balikpapan";643;"Bagus";10;-1.2675;116.829
