ID,Lokasi,Nama_Buah,Stok_kg,Tanggal_Update,Kualitas,Harga_per_kg,Latitude,Longitude
3201,Balikpapan,Apel,617,2025-04-02,Sedang,23,-1.2675,116.8289
3202,Balikpapan,Rambutan,756,2025-04-21,Bagus,16,-1.2675,116.8289
3203,Balikpapan,Pepaya,531,2025-04-25,Buruk,7,-1.2675,116.8289
3204,Balikpapan,Rambutan,459,2025-04-03,Bagus,18,-1.2675,116.8289
3205,Balikpapan,Durian,437,2025-04-10,Buruk,36,-1.2675,116.8289
3206,Balikpapan,Mangga,860,2025-04-11,Sedang,16,-1.2675,116.8289
3207,Balikpapan,Durian,413,2025-04-19,Bagus,42,-1.2675,116.8289
3208,Balikpapan,Pepaya,494,2025-05-05,Bagus,7,-1.2675,116.8289
3209,Balikpapan,Pepaya,622,2025-04-09,Bagus,10,-1.2675,116.8289
3210,Balikpapan,Jeruk,201,2025-05-04,Buruk,22,-1.2675,116.8289
3211,Balikpapan,Durian,954,2025-04-17,Bagus,38,-1.2675,116.8289
3212,Balikpapan,Pepaya,614,2025-04-03,Buruk,9,-1.2675,116.8289
3213,Balikpapan,Pisang,452,2025-04-11,Bagus,10,-1.2675,116.8289
3214,Balikpapan,Durian,684,2025-04-18,Buruk,38,-1.2675,116.8289
3215,Balikpapan,Mangga,209,2025-04-30,Buruk,16,-1.2675,116.8289
3216,Balikpapan,Jeruk,819,2025-04-28,Sedang,18,-1.2675,116.8289
3217,Balikpapan,Pisang,603,2025-04-03,Sedang,15,-1.2675,116.8289
3218,Balikpapan,Durian,941,2025-04-14,Bagus,37,-1.2675,116.8289
3219,Balikpapan,Apel,258,2025-04-24,Bagus,24,-1.2675,116.8289
3220,Balikpapan,Mangga,467,2025-04-10,Sedang,17,-1.2675,116.8289
3221,Balikpapan,Pisang,621,2025-04-21,Sedang,13,-1.2675,116.8289
3222,Balikpapan,Rambutan,516,2025-04-17,Sedang,12,-1.2675,116.8289
3223,Balikpapan,Apel,296,2025-04-12,Sedang,25,-1.2675,116.8289
3224,Balikpapan,Pisang,435,2025-04-18,Sedang,14,-1.2675,116.8289
3225,Balikpapan,Pepaya,637,2025-04-16,Buruk,10,-1.2675,116.8289
3226,Balikpapan,Durian,279,2025-04-28,Sedang,43,-1.2675,116.8289
3227,Balikpapan,Apel,645,2025-04-18,Bagus,30,-1.2675,116.8289
3228,Balikpapan,Mangga,1000,2025-04-05,Bagus,19,-1.2675,116.8289
3229,Balikpapan,Pepaya,765,2025-04-16,Sedang,7,-1.2675,116.8289
3230,Balikpapan,Apel,235,2025-05-03,Buruk,26,-1.2675,116.8289
3231,Balikpapan,Pepaya,756,2025-04-15,Bagus,8,-1.2675,116.8289
3232,Balikpapan,Pisang,322,2025-04-29,Bagus,11,-1.2675,116.8289
3233,Balikpapan,Apel,757,2025-05-01,Sedang,29,-1.2675,116.8289
3234,Balikpapan,Apel,587,2025-04-13,Sedang,29,-1.2675,116.8289
3235,Balikpapan,Pisang,665,2025-05-04,Sedang,13,-1.2675,116.8289
3236,Balikpapan,Durian,875,2025-04-19,Buruk,36,-1.2675,116.8289
3237,Balikpapan,Pepaya,423,2025-04-08,Buruk,7,-1.2675,116.8289
3238,Balikpapan,Rambutan,870,2025-04-05,Sedang,12,-1.2675,116.8289
3239,Balikpapan,Apel,861,2025-04-21,Buruk,21,-1.2675,116.8289
3240,Balikpapan,Pepaya,649,2025-04-08,Sedang,10,-1.2675,116.8289
3241,Balikpapan,Rambutan,758,2025-04-18,Bagus,13,-1.2675,116.8289
3242,Balikpapan,Pisang,912,2025-04-09,Bagus,15,-1.2675,116.8289
3243,Balikpapan,Durian,868,2025-04-06,Bagus,44,-1.2675,116.8289
3244,Balikpapan,Rambutan,895,2025-04-30,Bagus,12,-1.2675,116.8289
3245,Balikpapan,Rambutan,827,2025-04-01,Bagus,15,-1.2675,116.8289
3246,Balikpapan,Pepaya,439,2025-05-04,Bagus,9,-1.2675,116.8289
3247,Balikpapan,Rambutan,893,2025-04-18,Buruk,17,-1.2675,116.8289
3248,Balikpapan,Pepaya,579,2025-04-07,Bagus,8,-1.2675,116.8289
3249,Balikpapan,Rambutan,740,2025-04-15,Buruk,14,-1.2675,116.8289
3250,Balikpapan,Pepaya,931,2025-05-02,Sedang,7,-1.2675,116.8289
3251,Balikpapan,Durian,411,2025-04-20,Sedang,39,-1.2675,116.8289
3252,Balikpapan,Apel,652,2025-04-04,Bagus,21,-1.2675,116.8289
3253,Balikpapan,Durian,349,2025-04-14,Sedang,35,-1.2675,116.8289
3254,Balikpapan,Rambutan,905,2025-04-13,Sedang,14,-1.2675,116.8289
3255,Balikpapan,Pepaya,674,2025-04-18,Bagus,10,-1.2675,116.8289
3256,Balikpapan,Apel,836,2025-04-12,Sedang,27,-1.2675,116.8289
3257,Balikpapan,Mangga,545,2025-05-03,Bagus,15,-1.2675,116.8289
3258,Balikpapan,Durian,942,2025-04-22,Bagus,41,-1.2675,116.8289
3259,Balikpapan,Apel,284,2025-04-12,Bagus,30,-1.2675,116.8289
3260,Balikpapan,Rambutan,713,2025-04-04,Buruk,14,-1.2675,116.8289
3261,Balikpapan,Apel,257,2025-05-01,Sedang,27,-1.2675,116.8289
3262,Balikpapan,Mangga,214,2025-04-08,Sedang,19,-1.2675,116.8289
3263,Balikpapan,Mangga,425,2025-05-02,Bagus,18,-1.2675,116.8289
3264,Balikpapan,Durian,321,2025-04-07,Buruk,43,-1.2675,116.8289
3265,Balikpapan,Durian,514,2025-04-26,Buruk,37,-1.2675,116.8289
3266,Balikpapan,Apel,715,2025-04-26,Buruk,25,-1.2675,116.8289
3267,Balikpapan,Apel,203,2025-04-21,Bagus,24,-1.2675,116.8289
3268,Balikpapan,Durian,581,2025-04-26,Bagus,45,-1.2675,116.8289
3269,Balikpapan,Rambutan,434,2025-04-18,Sedang,13,-1.2675,116.8289
3270,Balikpapan,Apel,708,2025-04-04,Buruk,27,-1.2675,116.8289
3271,Balikpapan,Pisang,370,2025-04-28,Sedang,11,-1.2675,116.8289
3272,Balikpapan,Apel,476,2025-04-22,Bagus,25,-1.2675,116.8289
3273,Balikpapan,Mangga,810,2025-04-07,Sedang,18,-1.2675,116.8289
3274,Balikpapan,Durian,810,2025-04-08,Sedang,40,-1.2675,116.8289
3275,Balikpapan,Durian,464,2025-04-06,Bagus,35,-1.2675,116.8289
3276,Balikpapan,Durian,932,2025-04-25,Buruk,35,-1.2675,116.8289
3277,Balikpapan,Durian,400,2025-04-04,Buruk,38,-1.2675,116.8289
3278,Balikpapan,Mangga,970,2025-04-08,Bagus,17,-1.2675,116.8289
3279,Balikpapan,Durian,234,2025-04-12,Sedang,35,-1.2675,116.8289
3280,Balikpapan,Rambutan,986,2025-04-21,Bagus,16,-1.2675,116.8289
3281,Balikpapan,Rambutan,532,2025-04-20,Buruk,17,-1.2675,116.8289
3282,Balikpapan,Jeruk,253,2025-04-05,Buruk,21,-1.2675,116.8289
3283,Balikpapan,Mangga,439,2025-04-08,Buruk,18,-1.2675,116.8289
3284,Balikpapan,Jeruk,747,2025-04-15,Buruk,21,-1.2675,116.8289
3285,Balikpapan,Rambutan,796,2025-04-11,Bagus,17,-1.2675,116.8289
3286,Balikpapan,Jeruk,746,2025-04-28,Bagus,19,-1.2675,116.8289
3287,Balikpapan,Apel,385,2025-05-03,Buruk,27,-1.2675,116.8289
3288,Balikpapan,Rambutan,554,2025-04-12,Buruk,16,-1.2675,116.8289
3289,Balikpapan,Mangga,341,2025-04-18,Bagus,15,-1.2675,116.8289
3290,Balikpapan,Pisang,391,2025-04-02,Sedang,12,-1.2675,116.8289
3291,Balikpapan,Pisang,932,2025-04-21,Buruk,11,-1.2675,116.8289
3292,Balikpapan,Mangga,909,2025-04-15,Sedang,16,-1.2675,116.8289
3293,Balikpapan,Pepaya,715,2025-04-10,Sedang,9,-1.2675,116.8289
3294,Balikpapan,Mangga,377,2025-04-16,Bagus,19,-1.2675,116.8289
3295,Balikpapan,Pisang,865,2025-04-08,Buruk,12,-1.2675,116.8289
3296,Balikpapan,Mangga,578,2025-05-05,Sedang,16,-1.2675,116.8289
3297,Balikpapan,Jeruk,407,2025-04-25,Sedang,21,-1.2675,116.8289
3298,Balikpapan,Rambutan,733,2025-04-23,Sedang,17,-1.2675,116.8289
3299,Balikpapan,Jeruk,334,2025-04-15,Sedang,20,-1.2675,116.8289
3300,Balikpapan,Mangga,277,2025-04-27,Sedang,19,-1.2675,116.8289
3301,Balikpapan,Pisang,444,2025-04-29,Sedang,11,-1.2675,116.8289
3302,Balikpapan,Jeruk,863,2025-04-07,Sedang,18,-1.2675,116.8289
3303,Balikpapan,Rambutan,611,2025-04-26,Bagus,17,-1.2675,116.8289
3304,Balikpapan,Jeruk,249,2025-04-11,Sedang,19,-1.2675,116.8289
3305,Balikpapan,Rambutan,847,2025-04-10,Sedang,15,-1.2675,116.8289
3306,Balikpapan,Mangga,902,2025-05-03,Buruk,15,-1.2675,116.8289
3307,Balikpapan,Jeruk,579,2025-04-28,Buruk,19,-1.2675,116.8289
