ID,Lokasi,Nama_Buah,Stok_kg,Tanggal_Update,Kualitas,Harga_per_kg,Latitude,Longitude
401,Bandung,Jeruk,710,2025-04-03,Bagus,22,-6.9175,107.6191
402,Bandung,Rambutan,974,2025-04-06,Bagus,17,-6.9175,107.6191
403,Bandung,Pisang,315,2025-04-22,Bagus,12,-6.9175,107.6191
404,Bandung,Durian,862,2025-05-02,Buruk,45,-6.9175,107.6191
405,Bandung,Durian,702,2025-05-04,Bagus,36,-6.9175,107.6191
406,Bandung,Jeruk,828,2025-05-03,Buruk,19,-6.9175,107.6191
407,Bandung,Pepaya,338,2025-04-09,Sedang,7,-6.9175,107.6191
408,Bandung,Jeruk,894,2025-05-05,Buruk,22,-6.9175,107.6191
409,Bandung,Apel,816,2025-04-20,Sedang,21,-6.9175,107.6191
410,Bandung,Durian,653,2025-05-01,Sedang,37,-6.9175,107.6191
411,Bandung,Apel,932,2025-04-06,Sedang,24,-6.9175,107.6191
412,Bandung,Rambutan,793,2025-04-15,Bagus,16,-6.9175,107.6191
413,Bandung,Mangga,925,2025-05-04,Buruk,19,-6.9175,107.6191
414,Bandung,Apel,260,2025-04-08,Bagus,29,-6.9175,107.6191
415,Bandung,Pisang,921,2025-04-02,Bagus,13,-6.9175,107.6191
416,Bandung,Pisang,651,2025-04-11,Sedang,11,-6.9175,107.6191
417,Bandung,Mangga,904,2025-04-21,Buruk,20,-6.9175,107.6191
418,Bandung,Mangga,778,2025-04-27,Bagus,16,-6.9175,107.6191
419,Bandung,Mangga,449,2025-04-16,Buruk,15,-6.9175,107.6191
420,Bandung,Mangga,970,2025-04-12,Buruk,20,-6.9175,107.6191
421,Bandung,Apel,523,2025-04-23,Buruk,28,-6.9175,107.6191
422,Bandung,Durian,391,2025-04-24,Buruk,37,-6.9175,107.6191
423,Bandung,Pisang,462,2025-04-01,Bagus,13,-6.9175,107.6191
424,Bandung,Durian,545,2025-04-24,Bagus,41,-6.9175,107.6191
425,Bandung,Pepaya,586,2025-04-30,Bagus,9,-6.9175,107.6191
426,Bandung,Jeruk,207,2025-04-23,Bagus,18,-6.9175,107.6191
427,Bandung,Pepaya,481,2025-04-06,Bagus,7,-6.9175,107.6191
428,Bandung,Mangga,723,2025-04-04,Buruk,19,-6.9175,107.6191
429,Bandung,Mangga,474,2025-05-02,Buruk,17,-6.9175,107.6191
430,Bandung,Pepaya,920,2025-04-19,Sedang,9,-6.9175,107.6191
431,Bandung,Pepaya,736,2025-05-04,Buruk,8,-6.9175,107.6191
432,Bandung,Apel,371,2025-04-25,Buruk,26,-6.9175,107.6191
433,Bandung,Apel,266,2025-04-19,Sedang,26,-6.9175,107.6191
434,Bandung,Pisang,791,2025-04-21,Bagus,12,-6.9175,107.6191
435,Bandung,Durian,642,2025-04-04,Sedang,44,-6.9175,107.6191
436,Bandung,Pepaya,587,2025-05-01,Buruk,8,-6.9175,107.6191
437,Bandung,Pepaya,254,2025-04-20,Sedang,9,-6.9175,107.6191
