ID,Lokasi,Nama_Buah,Stok_kg,Tanggal_Update,Kualitas,Harga_per_kg,Latitude,Longitude
1,Jakarta,Durian,904,2025-04-29,Buruk,36,-6.2088,106.8456
2,Jakarta,Pepaya,367,2025-04-14,Buruk,8,-6.2088,106.8456
3,Jakarta,Durian,207,2025-04-20,Sedang,44,-6.2088,106.8456
4,Jakarta,Rambutan,697,2025-04-12,Buruk,18,-6.2088,106.8456
5,Jakarta,Rambutan,935,2025-05-05,Sedang,15,-6.2088,106.8456
6,Jakarta,Pepaya,635,2025-04-23,Sedang,9,-6.2088,106.8456
7,Jakarta,Rambutan,876,2025-04-01,Buruk,16,-6.2088,106.8456
8,Jakarta,Jeruk,776,2025-04-16,Sedang,21,-6.2088,106.8456
9,Jakarta,Pisang,819,2025-04-30,Sedang,12,-6.2088,106.8456
10,Jakarta,Rambutan,884,2025-04-02,Buruk,17,-6.2088,106.8456
11,Jakarta,Pepaya,701,2025-04-15,Buruk,10,-6.2088,106.8456
12,Jakarta,Rambutan,399,2025-05-04,Bagus,15,-6.2088,106.8456
13,Jakarta,Pisang,833,2025-04-01,Sedang,14,-6.2088,106.8456
14,Jakarta,Rambutan,397,2025-04-17,Buruk,12,-6.2088,106.8456
15,Jakarta,Mangga,324,2025-04-16,Sedang,17,-6.2088,106.8456
16,Jakarta,Rambutan,335,2025-04-15,Buruk,16,-6.2088,106.8456
17,Jakarta,Pisang,925,2025-04-29,Sedang,11,-6.2088,106.8456
18,Jakarta,Rambutan,840,2025-04-21,Buruk,14,-6.2088,106.8456
19,Jakarta,Apel,428,2025-04-15,Buruk,23,-6.2088,106.8456
20,Jakarta,Durian,291,2025-04-16,Buruk,43,-6.2088,106.8456
21,Jakarta,Rambutan,392,2025-04-17,Buruk,17,-6.2088,106.8456
22,Jakarta,Jeruk,760,2025-04-26,Sedang,20,-6.2088,106.8456
23,Jakarta,Apel,353,2025-04-02,Buruk,26,-6.2088,106.8456
24,Jakarta,Durian,209,2025-04-15,Buruk,41,-6.2088,106.8456
25,Jakarta,Rambutan,715,2025-05-03,Buruk,17,-6.2088,106.8456
26,Jakarta,Pepaya,944,2025-05-04,Buruk,8,-6.2088,106.8456
27,Jakarta,Rambutan,744,2025-04-20,Bagus,16,-6.2088,106.8456
28,Jakarta,Pepaya,695,2025-05-05,Buruk,7,-6.2088,106.8456
29,Jakarta,Apel,791,2025-04-20,Buruk,27,-6.2088,106.8456
30,Jakarta,Mangga,670,2025-04-05,Sedang,16,-6.2088,106.8456
31,Jakarta,Pepaya,961,2025-04-27,Bagus,8,-6.2088,106.8456
32,Jakarta,Rambutan,248,2025-04-08,Sedang,14,-6.2088,106.8456
33,Jakarta,Rambutan,605,2025-05-02,Sedang,14,-6.2088,106.8456
34,Jakarta,Mangga,575,2025-04-19,Sedang,20,-6.2088,106.8456
35,Jakarta,Durian,420,2025-05-01,Sedang,44,-6.2088,106.8456
36,Jakarta,Mangga,601,2025-04-05,Buruk,15,-6.2088,106.8456
37,Jakarta,Rambutan,820,2025-05-01,Sedang,16,-6.2088,106.8456
38,Jakarta,Durian,769,2025-04-06,Bagus,43,-6.2088,106.8456
39,Jakarta,Pepaya,279,2025-04-30,Buruk,10,-6.2088,106.8456
40,Jakarta,Apel,880,2025-04-14,Sedang,21,-6.2088,106.8456
41,Jakarta,Rambutan,238,2025-04-12,Bagus,18,-6.2088,106.8456
42,Jakarta,Rambutan,735,2025-04-25,Sedang,13,-6.2088,106.8456
43,Jakarta,Pepaya,651,2025-04-07,Buruk,9,-6.2088,106.8456
44,Jakarta,Pepaya,967,2025-05-05,Sedang,9,-6.2088,106.8456
45,Jakarta,Rambutan,444,2025-04-20,Sedang,14,-6.2088,106.8456
46,Jakarta,Mangga,914,2025-04-30,Sedang,18,-6.2088,106.8456
47,Jakarta,Pepaya,509,2025-04-15,Buruk,8,-6.2088,106.8456
48,Jakarta,Pisang,753,2025-04-17,Buruk,12,-6.2088,106.8456
49,Jakarta,Pepaya,578,2025-04-24,Buruk,8,-6.2088,106.8456
50,Jakarta,Apel,624,2025-04-04,Buruk,28,-6.2088,106.8456
51,Jakarta,Jeruk,788,2025-04-11,Bagus,20,-6.2088,106.8456
52,Jakarta,Durian,681,2025-05-01,Bagus,45,-6.2088,106.8456
53,Jakarta,Pisang,990,2025-05-05,Bagus,14,-6.2088,106.8456
54,Jakarta,Mangga,422,2025-05-03,Buruk,20,-6.2088,106.8456
55,Jakarta,Pepaya,627,2025-04-28,Buruk,7,-6.2088,106.8456
56,Jakarta,Pepaya,537,2025-05-05,Bagus,8,-6.2088,106.8456
57,Jakarta,Apel,263,2025-04-01,Sedang,27,-6.2088,106.8456
58,Jakarta,Rambutan,288,2025-04-01,Sedang,16,-6.2088,106.8456
59,Jakarta,Durian,903,2025-04-06,Sedang,40,-6.2088,106.8456
60,Jakarta,Apel,669,2025-04-09,Bagus,20,-6.2088,106.8456
61,Jakarta,Pisang,259,2025-04-30,Bagus,15,-6.2088,106.8456
62,Jakarta,Apel,992,2025-05-02,Buruk,24,-6.2088,106.8456
63,Jakarta,Rambutan,784,2025-04-03,Bagus,18,-6.2088,106.8456
64,Jakarta,Durian,821,2025-04-09,Bagus,37,-6.2088,106.8456
65,Jakarta,Apel,230,2025-04-08,Buruk,30,-6.2088,106.8456
66,Jakarta,Rambutan,636,2025-04-21,Bagus,17,-6.2088,106.8456
67,Jakarta,Rambutan,997,2025-04-22,Sedang,17,-6.2088,106.8456
68,Jakarta,Durian,940,2025-04-21,Bagus,38,-6.2088,106.8456
