ID,Lokasi,Nama_Buah,Stok_kg,Tanggal_Update,Kualitas,Harga_per_kg,Latitude,Longitude
2801,Makassar,Pepaya,522,2025-04-28,Bagus,8,-5.1477,119.4327
2802,Makassar,Pepaya,907,2025-04-26,Buruk,7,-5.1477,119.4327
2803,Makassar,Rambutan,400,2025-04-01,Sedang,18,-5.1477,119.4327
2804,Makassar,Mangga,768,2025-05-04,Sedang,17,-5.1477,119.4327
2805,Makassar,Jeruk,445,2025-04-04,Sedang,21,-5.1477,119.4327
2806,Makassar,Apel,213,2025-04-23,Sedang,29,-5.1477,119.4327
2807,Makassar,Jeruk,686,2025-04-26,Bagus,21,-5.1477,119.4327
2808,Makassar,Rambutan,440,2025-04-12,Buruk,17,-5.1477,119.4327
2809,Makassar,Apel,630,2025-04-19,Bagus,24,-5.1477,119.4327
2810,Makassar,Pisang,674,2025-05-03,Buruk,11,-5.1477,119.4327
2811,Makassar,Mangga,279,2025-04-17,Bagus,15,-5.1477,119.4327
2812,Makassar,Jeruk,507,2025-04-15,Bagus,22,-5.1477,119.4327
2813,Makassar,Pepaya,566,2025-04-29,Bagus,9,-5.1477,119.4327
2814,Makassar,Apel,904,2025-04-24,Buruk,30,-5.1477,119.4327
2815,Makassar,Jeruk,297,2025-04-28,Buruk,21,-5.1477,119.4327
2816,Makassar,Apel,494,2025-04-20,Bagus,28,-5.1477,119.4327
2817,Makassar,Jeruk,362,2025-05-05,Bagus,22,-5.1477,119.4327
2818,Makassar,Pisang,418,2025-04-25,Buruk,13,-5.1477,119.4327
2819,Makassar,Jeruk,903,2025-04-01,Bagus,19,-5.1477,119.4327
2820,Makassar,Pisang,466,2025-04-06,Buruk,15,-5.1477,119.4327
2821,Makassar,Mangga,547,2025-04-15,Bagus,20,-5.1477,119.4327
2822,Makassar,Rambutan,743,2025-04-16,Bagus,12,-5.1477,119.4327
2823,Makassar,Mangga,829,2025-05-04,Sedang,19,-5.1477,119.4327
2824,Makassar,Apel,616,2025-04-16,Sedang,23,-5.1477,119.4327
2825,Makassar,Apel,930,2025-04-09,Buruk,20,-5.1477,119.4327
2826,Makassar,Durian,927,2025-04-02,Bagus,44,-5.1477,119.4327
2827,Makassar,Rambutan,930,2025-04-05,Bagus,14,-5.1477,119.4327
2828,Makassar,Durian,922,2025-04-24,Buruk,39,-5.1477,119.4327
2829,Makassar,Apel,782,2025-05-04,Sedang,27,-5.1477,119.4327
2830,Makassar,Apel,685,2025-04-19,Sedang,27,-5.1477,119.4327
2831,Makassar,Pisang,780,2025-04-04,Buruk,14,-5.1477,119.4327
2832,Makassar,Durian,486,2025-04-18,Sedang,44,-5.1477,119.4327
2833,Makassar,Jeruk,343,2025-04-26,Buruk,21,-5.1477,119.4327
2834,Makassar,Durian,585,2025-04-20,Bagus,41,-5.1477,119.4327
2835,Makassar,Pepaya,978,2025-04-20,Buruk,8,-5.1477,119.4327
2836,Makassar,Pepaya,309,2025-04-21,Sedang,10,-5.1477,119.4327
2837,Makassar,Durian,730,2025-04-28,Buruk,40,-5.1477,119.4327
2838,Makassar,Apel,984,2025-04-23,Buruk,28,-5.1477,119.4327
2839,Makassar,Pepaya,562,2025-04-07,Sedang,7,-5.1477,119.4327
2840,Makassar,Pepaya,358,2025-04-19,Sedang,10,-5.1477,119.4327
2841,Makassar,Pepaya,408,2025-04-20,Bagus,7,-5.1477,119.4327
2842,Makassar,Jeruk,856,2025-04-28,Bagus,22,-5.1477,119.4327
2843,Makassar,Pepaya,235,2025-04-01,Buruk,7,-5.1477,119.4327
2844,Makassar,Pepaya,759,2025-04-27,Sedang,7,-5.1477,119.4327
2845,Makassar,Rambutan,298,2025-04-17,Buruk,18,-5.1477,119.4327
2846,Makassar,Rambutan,701,2025-04-20,Bagus,18,-5.1477,119.4327
2847,Makassar,Pepaya,210,2025-04-10,Bagus,7,-5.1477,119.4327
2848,Makassar,Pepaya,989,2025-04-10,Bagus,7,-5.1477,119.4327
2849,Makassar,Mangga,493,2025-04-01,Buruk,19,-5.1477,119.4327
2850,Makassar,Rambutan,579,2025-04-26,Sedang,14,-5.1477,119.4327
2851,Makassar,Jeruk,873,2025-04-20,Bagus,20,-5.1477,119.4327
2852,Makassar,Durian,359,2025-04-24,Bagus,36,-5.1477,119.4327
2853,Makassar,Jeruk,451,2025-04-03,Sedang,21,-5.1477,119.4327
2854,Makassar,Rambutan,220,2025-04-19,Bagus,12,-5.1477,119.4327
2855,Makassar,Durian,680,2025-04-19,Bagus,38,-5.1477,119.4327
2856,Makassar,Apel,473,2025-04-12,Bagus,28,-5.1477,119.4327
2857,Makassar,Pepaya,637,2025-04-10,Buruk,7,-5.1477,119.4327
2858,Makassar,Durian,231,2025-04-28,Buruk,37,-5.1477,119.4327
2859,Makassar,Rambutan,232,2025-04-14,Buruk,14,-5.1477,119.4327
2860,Makassar,Durian,757,2025-04-24,Sedang,36,-5.1477,119.4327
2861,Makassar,Mangga,291,2025-04-03,Sedang,17,-5.1477,119.4327
2862,Makassar,Durian,902,2025-04-06,Buruk,41,-5.1477,119.4327
2863,Makassar,Durian,289,2025-04-02,Bagus,42,-5.1477,119.4327
2864,Makassar,Jeruk,281,2025-04-07,Buruk,19,-5.1477,119.4327
2865,Makassar,Apel,804,2025-04-15,Bagus,27,-5.1477,119.4327
2866,Makassar,Pepaya,858,2025-04-18,Sedang,10,-5.1477,119.4327
2867,Makassar,Apel,520,2025-04-04,Bagus,26,-5.1477,119.4327
2868,Makassar,Apel,964,2025-04-30,Bagus,22,-5.1477,119.4327
2869,Makassar,Pepaya,557,2025-04-09,Sedang,7,-5.1477,119.4327
2870,Makassar,Rambutan,538,2025-04-25,Bagus,12,-5.1477,119.4327
2871,Makassar,Jeruk,868,2025-04-27,Sedang,22,-5.1477,119.4327
2872,Makassar,Pepaya,328,2025-04-05,Sedang,10,-5.1477,119.4327
2873,Makassar,Durian,922,2025-04-07,Sedang,40,-5.1477,119.4327
2874,Makassar,Durian,635,2025-04-18,Sedang,42,-5.1477,119.4327
2875,Makassar,Durian,980,2025-04-13,Buruk,37,-5.1477,119.4327
2876,Makassar,Apel,356,2025-04-09,Buruk,21,-5.1477,119.4327
2877,Makassar,Durian,1000,2025-05-04,Buruk,40,-5.1477,119.4327
2878,Makassar,Durian,796,2025-04-11,Bagus,42,-5.1477,119.4327
2879,Makassar,Apel,390,2025-05-01,Sedang,29,-5.1477,119.4327
