ID,Lokasi,Nama_Buah,Stok_kg,Tanggal_Update,Kualitas,Harga_per_kg,Latitude,Longitude
3601,Manado,Durian,973,2025-04-09,Sedang,37,1.4748,124.8421
3602,Manado,Jeruk,435,2025-04-08,Bagus,22,1.4748,124.8421
3603,Manado,Mangga,827,2025-04-09,Buruk,19,1.4748,124.8421
3604,Manado,Mangga,860,2025-04-22,Buruk,20,1.4748,124.8421
3605,Manado,Rambutan,398,2025-04-17,Bagus,13,1.4748,124.8421
3606,Manado,Jeruk,962,2025-04-18,Buruk,22,1.4748,124.8421
3607,Manado,Pisang,922,2025-04-23,Sedang,11,1.4748,124.8421
3608,Manado,Durian,522,2025-04-30,Sedang,36,1.4748,124.8421
3609,Manado,Rambutan,443,2025-04-10,Buruk,16,1.4748,124.8421
3610,Manado,Jeruk,506,2025-05-05,Bagus,18,1.4748,124.8421
3611,Manado,Pepaya,745,2025-04-24,Bagus,10,1.4748,124.8421
3612,Manado,Jeruk,763,2025-04-06,Buruk,18,1.4748,124.8421
3613,Manado,Pepaya,973,2025-05-05,Buruk,9,1.4748,124.8421
3614,Manado,Pisang,660,2025-04-14,Bagus,12,1.4748,124.8421
3615,Manado,Apel,241,2025-04-04,Buruk,22,1.4748,124.8421
3616,Manado,Jeruk,832,2025-04-16,Sedang,22,1.4748,124.8421
3617,Manado,Durian,373,2025-04-23,Bagus,36,1.4748,124.8421
3618,Manado,Durian,996,2025-04-27,Bagus,38,1.4748,124.8421
3619,Manado,Pepaya,916,2025-04-25,Bagus,8,1.4748,124.8421
3620,Manado,Durian,509,2025-04-23,Sedang,35,1.4748,124.8421
3621,Manado,Apel,710,2025-04-09,Bagus,29,1.4748,124.8421
3622,Manado,Rambutan,284,2025-04-17,Buruk,16,1.4748,124.8421
3623,Manado,Pisang,486,2025-04-20,Buruk,14,1.4748,124.8421
3624,Manado,Pepaya,408,2025-05-01,Buruk,10,1.4748,124.8421
3625,Manado,Jeruk,564,2025-04-09,Buruk,18,1.4748,124.8421
3626,Manado,Pepaya,949,2025-04-01,Buruk,7,1.4748,124.8421
3627,Manado,Pisang,437,2025-04-03,Sedang,12,1.4748,124.8421
3628,Manado,Pepaya,945,2025-04-18,Bagus,9,1.4748,124.8421
3629,Manado,Jeruk,228,2025-04-20,Buruk,21,1.4748,124.8421
3630,Manado,Pepaya,356,2025-04-27,Sedang,10,1.4748,124.8421
3631,Manado,Mangga,351,2025-04-11,Sedang,18,1.4748,124.8421
3632,Manado,Rambutan,585,2025-04-21,Sedang,15,1.4748,124.8421
3633,Manado,Jeruk,677,2025-04-06,Sedang,19,1.4748,124.8421
3634,Manado,Rambutan,817,2025-04-12,Bagus,18,1.4748,124.8421
3635,Manado,Jeruk,579,2025-04-04,Sedang,20,1.4748,124.8421
3636,Manado,Rambutan,340,2025-04-25,Bagus,15,1.4748,124.8421
3637,Manado,Rambutan,784,2025-04-05,Bagus,18,1.4748,124.8421
3638,Manado,Apel,259,2025-05-05,Bagus,25,1.4748,124.8421
3639,Manado,Jeruk,741,2025-04-03,Sedang,18,1.4748,124.8421
3640,Manado,Apel,776,2025-04-13,Buruk,21,1.4748,124.8421
3641,Manado,Mangga,220,2025-04-12,Bagus,18,1.4748,124.8421
3642,Manado,Mangga,994,2025-04-18,Sedang,16,1.4748,124.8421
3643,Manado,Rambutan,284,2025-04-14,Buruk,17,1.4748,124.8421
3644,Manado,Apel,220,2025-04-12,Buruk,27,1.4748,124.8421
3645,Manado,Durian,517,2025-04-02,Bagus,35,1.4748,124.8421
3646,Manado,Rambutan,278,2025-04-23,Buruk,12,1.4748,124.8421
3647,Manado,Pepaya,515,2025-04-19,Buruk,8,1.4748,124.8421
3648,Manado,Pepaya,653,2025-04-14,Bagus,10,1.4748,124.8421
3649,Manado,Rambutan,288,2025-04-13,Bagus,18,1.4748,124.8421
3650,Manado,Pisang,488,2025-05-04,Sedang,14,1.4748,124.8421
3651,Manado,Durian,231,2025-04-16,Buruk,37,1.4748,124.8421
3652,Manado,Durian,773,2025-04-28,Buruk,40,1.4748,124.8421
3653,Manado,Pepaya,426,2025-04-24,Sedang,7,1.4748,124.8421
3654,Manado,Pepaya,598,2025-04-19,Buruk,7,1.4748,124.8421
3655,Manado,Rambutan,971,2025-04-27,Bagus,16,1.4748,124.8421
3656,Manado,Pepaya,847,2025-04-16,Sedang,8,1.4748,124.8421
3657,Manado,Pisang,989,2025-04-15,Buruk,12,1.4748,124.8421
3658,Manado,Jeruk,212,2025-04-11,Buruk,20,1.4748,124.8421
3659,Manado,Rambutan,753,2025-04-24,Buruk,18,1.4748,124.8421
3660,Manado,Pisang,834,2025-04-18,Sedang,13,1.4748,124.8421
3661,Manado,Jeruk,940,2025-04-10,Bagus,22,1.4748,124.8421
3662,Manado,Durian,776,2025-04-15,Bagus,37,1.4748,124.8421
3663,Manado,Mangga,874,2025-04-20,Sedang,16,1.4748,124.8421
3664,Manado,Rambutan,933,2025-04-12,Bagus,16,1.4748,124.8421
3665,Manado,Pisang,270,2025-04-21,Bagus,13,1.4748,124.8421
3666,Manado,Pisang,505,2025-04-08,Sedang,13,1.4748,124.8421
3667,Manado,Jeruk,339,2025-05-05,Bagus,22,1.4748,124.8421
3668,Manado,Jeruk,482,2025-04-15,Bagus,18,1.4748,124.8421
3669,Manado,Apel,710,2025-04-02,Buruk,21,1.4748,124.8421
3670,Manado,Pepaya,851,2025-04-03,Buruk,8,1.4748,124.8421
3671,Manado,Jeruk,879,2025-04-17,Bagus,19,1.4748,124.8421
3672,Manado,Pisang,310,2025-04-16,Bagus,11,1.4748,124.8421
3673,Manado,Durian,740,2025-04-15,Buruk,40,1.4748,124.8421
3674,Manado,Apel,813,2025-04-04,Buruk,30,1.4748,124.8421
3675,Manado,Pepaya,793,2025-04-03,Sedang,7,1.4748,124.8421
3676,Manado,Durian,727,2025-04-04,Bagus,42,1.4748,124.8421
3677,Manado,Pisang,316,2025-05-05,Sedang,13,1.4748,124.8421
3678,Manado,Pisang,613,2025-04-22,Bagus,14,1.4748,124.8421
3679,Manado,Durian,409,2025-04-13,Sedang,45,1.4748,124.8421
3680,Manado,Durian,249,2025-05-04,Buruk,40,1.4748,124.8421
3681,Manado,Jeruk,564,2025-04-27,Buruk,21,1.4748,124.8421
3682,Manado,Mangga,738,2025-04-05,Sedang,18,1.4748,124.8421
3683,Manado,Apel,200,2025-05-02,Bagus,26,1.4748,124.8421
3684,Manado,Apel,773,2025-04-17,Sedang,29,1.4748,124.8421
3685,Manado,Apel,495,2025-04-11,Bagus,21,1.4748,124.8421
3686,Manado,Pepaya,908,2025-04-16,Buruk,8,1.4748,124.8421
3687,Manado,Pisang,306,2025-04-11,Bagus,15,1.4748,124.8421
3688,Manado,Rambutan,445,2025-05-05,Bagus,17,1.4748,124.8421
3689,Manado,Durian,980,2025-04-05,Bagus,38,1.4748,124.8421
3690,Manado,Rambutan,567,2025-05-04,Bagus,14,1.4748,124.8421
3691,Manado,Durian,709,2025-04-25,Sedang,41,1.4748,124.8421
3692,Manado,Durian,320,2025-04-19,Sedang,44,1.4748,124.8421
3693,Manado,Rambutan,920,2025-04-07,Sedang,12,1.4748,124.8421
3694,Manado,Durian,635,2025-04-03,Bagus,35,1.4748,124.8421
3695,Manado,Jeruk,305,2025-04-21,Buruk,22,1.4748,124.8421
3696,Manado,Apel,286,2025-04-10,Sedang,25,1.4748,124.8421
3697,Manado,Rambutan,770,2025-04-29,Buruk,16,1.4748,124.8421
3698,Manado,Apel,977,2025-04-20,Sedang,21,1.4748,124.8421
3699,Manado,Rambutan,622,2025-05-01,Buruk,15,1.4748,124.8421
3700,Manado,Pisang,848,2025-04-05,Sedang,15,1.4748,124.8421
3701,Manado,Apel,789,2025-04-13,Buruk,24,1.4748,124.8421
3702,Manado,Pisang,806,2025-04-07,Buruk,15,1.4748,124.8421
3703,Manado,Pisang,693,2025-04-29,Bagus,15,1.4748,124.8421
3704,Manado,Jeruk,599,2025-04-24,Buruk,18,1.4748,124.8421
3705,Manado,Mangga,284,2025-04-19,Sedang,18,1.4748,124.8421
3706,Manado,Durian,649,2025-04-07,Buruk,40,1.4748,124.8421
3707,Manado,Pisang,542,2025-05-04,Sedang,15,1.4748,124.8421
3708,Manado,Rambutan,924,2025-04-02,Bagus,14,1.4748,124.8421
3709,Manado,Pisang,521,2025-04-26,Buruk,14,1.4748,124.8421
3710,Manado,Jeruk,551,2025-04-07,Bagus,20,1.4748,124.8421
3711,Manado,Pepaya,623,2025-05-05,Bagus,10,1.4748,124.8421
3712,Manado,Jeruk,768,2025-04-28,Sedang,19,1.4748,124.8421
3713,Manado,Mangga,673,2025-05-05,Buruk,16,1.4748,124.8421
3714,Manado,Mangga,500,2025-05-01,Sedang,19,1.4748,124.8421
3715,Manado,Durian,648,2025-04-22,Bagus,39,1.4748,124.8421
3716,Manado,Durian,519,2025-04-25,Buruk,45,1.4748,124.8421
3717,Manado,Durian,716,2025-05-02,Sedang,35,1.4748,124.8421
3718,Manado,Apel,898,2025-04-27,Sedang,23,1.4748,124.8421
3719,Manado,Mangga,970,2025-04-27,Bagus,19,1.4748,124.8421
3720,Manado,Pisang,416,2025-04-24,Bagus,13,1.4748,124.8421
3721,Manado,Jeruk,317,2025-04-22,Buruk,20,1.4748,124.8421
3722,Manado,Pisang,566,2025-04-18,Sedang,10,1.4748,124.8421
3723,Manado,Pepaya,586,2025-04-22,Bagus,10,1.4748,124.8421
3724,Manado,Rambutan,739,2025-04-01,Buruk,16,1.4748,124.8421
3725,Manado,Durian,348,2025-04-28,Bagus,39,1.4748,124.8421
3726,Manado,Jeruk,767,2025-04-09,Bagus,21,1.4748,124.8421
3727,Manado,Jeruk,528,2025-04-22,Sedang,22,1.4748,124.8421
3728,Manado,Durian,394,2025-04-30,Bagus,45,1.4748,124.8421
3729,Manado,Mangga,851,2025-05-03,Buruk,16,1.4748,124.8421
3730,Manado,Durian,229,2025-04-18,Bagus,42,1.4748,124.8421
3731,Manado,Jeruk,894,2025-04-10,Sedang,18,1.4748,124.8421
3732,Manado,Pepaya,640,2025-04-03,Bagus,9,1.4748,124.8421
3733,Manado,Rambutan,272,2025-04-15,Bagus,12,1.4748,124.8421
3734,Manado,Durian,795,2025-05-03,Buruk,39,1.4748,124.8421
3735,Manado,Jeruk,468,2025-04-04,Buruk,19,1.4748,124.8421
3736,Manado,Jeruk,833,2025-04-09,Sedang,19,1.4748,124.8421
3737,Manado,Pepaya,530,2025-04-18,Buruk,9,1.4748,124.8421
3738,Manado,Rambutan,599,2025-05-03,Sedang,14,1.4748,124.8421
3739,Manado,Pisang,484,2025-04-19,Sedang,10,1.4748,124.8421
3740,Manado,Rambutan,508,2025-04-05,Buruk,18,1.4748,124.8421
