ID,Lokasi,Nama_Buah,Stok_kg,Tanggal_Update,Kualitas,Harga_per_kg,Latitude,Longitude
2001,Medan,Jeruk,766,2025-05-01,Buruk,18,3.5952,98.6722
2002,Medan,Rambutan,784,2025-04-18,Bagus,12,3.5952,98.6722
2003,Medan,Pepaya,648,2025-04-17,Sedang,8,3.5952,98.6722
2004,Medan,Durian,889,2025-04-30,Buruk,38,3.5952,98.6722
2005,Medan,Pisang,478,2025-04-14,Bagus,11,3.5952,98.6722
2006,Medan,Pisang,362,2025-04-02,Bagus,12,3.5952,98.6722
2007,Medan,Durian,373,2025-04-25,Sedang,45,3.5952,98.6722
2008,Medan,Durian,290,2025-04-19,Buruk,43,3.5952,98.6722
2009,Medan,Apel,699,2025-05-01,Sedang,25,3.5952,98.6722
2010,Medan,Apel,671,2025-05-01,Buruk,30,3.5952,98.6722
2011,Medan,Pisang,768,2025-04-04,Buruk,13,3.5952,98.6722
2012,Medan,Pepaya,725,2025-04-16,Buruk,10,3.5952,98.6722
2013,Medan,Pisang,793,2025-04-21,Sedang,10,3.5952,98.6722
2014,Medan,Jeruk,572,2025-04-13,Bagus,19,3.5952,98.6722
2015,Medan,Jeruk,441,2025-04-08,Bagus,18,3.5952,98.6722
2016,Medan,Jeruk,613,2025-04-19,Bagus,18,3.5952,98.6722
2017,Medan,Durian,513,2025-04-13,Buruk,37,3.5952,98.6722
2018,Medan,Mangga,403,2025-04-08,Bagus,16,3.5952,98.6722
2019,Medan,Mangga,968,2025-04-17,Buruk,15,3.5952,98.6722
2020,Medan,Mangga,368,2025-04-11,Sedang,18,3.5952,98.6722
2021,Medan,Mangga,844,2025-04-25,Buruk,17,3.5952,98.6722
2022,Medan,Apel,258,2025-04-18,Bagus,25,3.5952,98.6722
2023,Medan,Rambutan,776,2025-04-26,Buruk,16,3.5952,98.6722
2024,Medan,Pisang,252,2025-04-01,Bagus,15,3.5952,98.6722
2025,Medan,Jeruk,849,2025-04-06,Bagus,19,3.5952,98.6722
2026,Medan,Pepaya,268,2025-05-01,Bagus,9,3.5952,98.6722
2027,Medan,Pisang,820,2025-04-08,Bagus,15,3.5952,98.6722
2028,Medan,Jeruk,654,2025-04-23,Sedang,21,3.5952,98.6722
2029,Medan,Apel,252,2025-04-26,Bagus,23,3.5952,98.6722
2030,Medan,Rambutan,740,2025-04-13,Sedang,17,3.5952,98.6722
2031,Medan,Jeruk,542,2025-04-25,Bagus,22,3.5952,98.6722
2032,Medan,Pisang,757,2025-04-28,Sedang,15,3.5952,98.6722
2033,Medan,Pisang,224,2025-04-12,Sedang,13,3.5952,98.6722
2034,Medan,Pepaya,801,2025-04-05,Bagus,8,3.5952,98.6722
2035,Medan,Pepaya,937,2025-04-04,Sedang,10,3.5952,98.6722
2036,Medan,Rambutan,926,2025-04-14,Sedang,13,3.5952,98.6722
2037,Medan,Apel,397,2025-04-20,Sedang,29,3.5952,98.6722
2038,Medan,Apel,852,2025-04-10,Buruk,30,3.5952,98.6722
2039,Medan,Mangga,982,2025-04-06,Sedang,15,3.5952,98.6722
2040,Medan,Mangga,922,2025-05-04,Bagus,20,3.5952,98.6722
2041,Medan,Durian,620,2025-04-11,Bagus,37,3.5952,98.6722
2042,Medan,Pepaya,575,2025-04-10,Sedang,7,3.5952,98.6722
2043,Medan,Mangga,944,2025-05-03,Buruk,18,3.5952,98.6722
2044,Medan,Durian,648,2025-04-08,Sedang,36,3.5952,98.6722
2045,Medan,Pisang,964,2025-04-26,Bagus,14,3.5952,98.6722
2046,Medan,Pepaya,229,2025-04-02,Bagus,10,3.5952,98.6722
2047,Medan,Apel,585,2025-04-09,Buruk,25,3.5952,98.6722
2048,Medan,Pisang,779,2025-04-26,Sedang,15,3.5952,98.6722
2049,Medan,Pisang,719,2025-04-18,Sedang,15,3.5952,98.6722
2050,Medan,Rambutan,934,2025-04-20,Sedang,14,3.5952,98.6722
2051,Medan,Pepaya,242,2025-04-21,Bagus,9,3.5952,98.6722
2052,Medan,Mangga,410,2025-04-01,Bagus,18,3.5952,98.6722
2053,Medan,Apel,328,2025-04-27,Bagus,28,3.5952,98.6722
2054,Medan,Durian,928,2025-04-21,Sedang,38,3.5952,98.6722
2055,Medan,Jeruk,664,2025-05-05,Bagus,18,3.5952,98.6722
2056,Medan,Mangga,639,2025-04-18,Bagus,19,3.5952,98.6722
2057,Medan,Jeruk,291,2025-04-11,Bagus,18,3.5952,98.6722
2058,Medan,Jeruk,933,2025-04-17,Buruk,20,3.5952,98.6722
2059,Medan,Durian,965,2025-04-26,Sedang,43,3.5952,98.6722
2060,Medan,Mangga,657,2025-04-09,Bagus,20,3.5952,98.6722
2061,Medan,Mangga,848,2025-05-03,Buruk,19,3.5952,98.6722
2062,Medan,Jeruk,727,2025-04-10,Buruk,20,3.5952,98.6722
2063,Medan,Pisang,328,2025-04-26,Sedang,12,3.5952,98.6722
2064,Medan,Pepaya,315,2025-04-05,Buruk,8,3.5952,98.6722
2065,Medan,Rambutan,233,2025-05-03,Sedang,18,3.5952,98.6722
2066,Medan,Pepaya,350,2025-04-07,Sedang,9,3.5952,98.6722
2067,Medan,Mangga,645,2025-04-23,Bagus,16,3.5952,98.6722
2068,Medan,Durian,946,2025-04-02,Sedang,36,3.5952,98.6722
