ID,Lokasi,Nama_Buah,Stok_kg,Tanggal_Update,Kualitas,Harga_per_kg,Latitude,Longitude
1601,Semarang,Rambutan,389,2025-05-02,Bagus,14,-6.9667,110.4167
1602,Semarang,Pisang,523,2025-04-19,Sedang,11,-6.9667,110.4167
1603,Semarang,Apel,294,2025-04-14,Bagus,23,-6.9667,110.4167
1604,Semarang,Mangga,382,2025-04-09,Sedang,17,-6.9667,110.4167
1605,Semarang,Apel,665,2025-04-06,Bagus,21,-6.9667,110.4167
1606,Semarang,Durian,882,2025-05-02,Bagus,42,-6.9667,110.4167
1607,Semarang,Pisang,514,2025-04-24,Sedang,14,-6.9667,110.4167
1608,Semarang,Apel,444,2025-04-29,Sedang,24,-6.9667,110.4167
1609,Semarang,Mangga,684,2025-04-05,Sedang,18,-6.9667,110.4167
1610,Semarang,Jeruk,519,2025-04-08,Bagus,18,-6.9667,110.4167
1611,Semarang,Pepaya,553,2025-04-06,Buruk,8,-6.9667,110.4167
1612,Semarang,Mangga,822,2025-04-23,Sedang,19,-6.9667,110.4167
1613,Semarang,Pepaya,570,2025-04-09,Buruk,9,-6.9667,110.4167
1614,Semarang,Mangga,815,2025-05-01,Bagus,18,-6.9667,110.4167
1615,Semarang,Apel,627,2025-04-23,Buruk,25,-6.9667,110.4167
1616,Semarang,Jeruk,329,2025-04-07,Sedang,19,-6.9667,110.4167
1617,Semarang,Apel,501,2025-04-19,Bagus,29,-6.9667,110.4167
1618,Semarang,Pepaya,594,2025-04-19,Sedang,10,-6.9667,110.4167
1619,Semarang,Jeruk,665,2025-05-02,Sedang,22,-6.9667,110.4167
1620,Semarang,Jeruk,991,2025-04-18,Sedang,22,-6.9667,110.4167
1621,Semarang,Durian,364,2025-04-02,Bagus,37,-6.9667,110.4167
1622,Semarang,Apel,490,2025-04-15,Buruk,24,-6.9667,110.4167
1623,Semarang,Apel,620,2025-04-19,Buruk,26,-6.9667,110.4167
1624,Semarang,Apel,541,2025-04-29,Bagus,23,-6.9667,110.4167
1625,Semarang,Pisang,358,2025-04-02,Sedang,13,-6.9667,110.4167
1626,Semarang,Pepaya,269,2025-04-10,Buruk,9,-6.9667,110.4167
1627,Semarang,Apel,962,2025-04-15,Buruk,25,-6.9667,110.4167
1628,Semarang,Pepaya,228,2025-04-26,Bagus,7,-6.9667,110.4167
1629,Semarang,Pepaya,642,2025-05-05,Buruk,9,-6.9667,110.4167
1630,Semarang,Pepaya,526,2025-04-19,Sedang,9,-6.9667,110.4167
1631,Semarang,Pepaya,665,2025-04-13,Bagus,7,-6.9667,110.4167
1632,Semarang,Mangga,750,2025-04-28,Buruk,16,-6.9667,110.4167
1633,Semarang,Rambutan,278,2025-04-13,Bagus,18,-6.9667,110.4167
1634,Semarang,Jeruk,460,2025-04-08,Buruk,22,-6.9667,110.4167
1635,Semarang,Apel,523,2025-04-26,Bagus,23,-6.9667,110.4167
1636,Semarang,Apel,439,2025-04-17,Buruk,23,-6.9667,110.4167
1637,Semarang,Durian,588,2025-04-14,Sedang,44,-6.9667,110.4167
1638,Semarang,Rambutan,544,2025-05-03,Sedang,18,-6.9667,110.4167
1639,Semarang,Jeruk,368,2025-04-26,Sedang,18,-6.9667,110.4167
1640,Semarang,Jeruk,490,2025-05-03,Sedang,19,-6.9667,110.4167
1641,Semarang,Jeruk,625,2025-04-02,Bagus,19,-6.9667,110.4167
1642,Semarang,Pisang,959,2025-04-30,Sedang,12,-6.9667,110.4167
1643,Semarang,Apel,456,2025-04-06,Sedang,26,-6.9667,110.4167
1644,Semarang,Durian,737,2025-05-03,Sedang,44,-6.9667,110.4167
1645,Semarang,Rambutan,320,2025-04-04,Bagus,15,-6.9667,110.4167
1646,Semarang,Apel,499,2025-04-15,Sedang,26,-6.9667,110.4167
