ID,Lokasi,Nama_Buah,Stok_kg,Tanggal_Update,Kualitas,Harga_per_kg,Latitude,Longitude
801,Surabaya,Rambutan,531,2025-04-21,Buruk,17,-7.2504,112.7688
802,Surabaya,Apel,584,2025-04-28,Buruk,26,-7.2504,112.7688
803,Surabaya,Mangga,571,2025-04-23,Buruk,20,-7.2504,112.7688
804,Surabaya,Apel,449,2025-04-26,Bagus,23,-7.2504,112.7688
805,Surabaya,Durian,334,2025-05-03,Sedang,44,-7.2504,112.7688
806,Surabaya,Apel,565,2025-05-04,Buruk,27,-7.2504,112.7688
807,Surabaya,Pisang,961,2025-04-12,Buruk,15,-7.2504,112.7688
808,Surabaya,Mangga,370,2025-04-15,Buruk,17,-7.2504,112.7688
809,Surabaya,Durian,936,2025-04-23,Bagus,45,-7.2504,112.7688
810,Surabaya,Jeruk,298,2025-04-10,Sedang,19,-7.2504,112.7688
811,Surabaya,Pepaya,226,2025-04-28,Sedang,9,-7.2504,112.7688
812,Surabaya,Durian,587,2025-04-16,Buruk,43,-7.2504,112.7688
813,Surabaya,Rambutan,948,2025-05-02,Sedang,17,-7.2504,112.7688
814,Surabaya,Durian,530,2025-04-09,Sedang,36,-7.2504,112.7688
815,Surabaya,Rambutan,545,2025-04-27,Sedang,15,-7.2504,112.7688
816,Surabaya,Pepaya,323,2025-04-27,Buruk,8,-7.2504,112.7688
817,Surabaya,Pisang,379,2025-04-08,Bagus,14,-7.2504,112.7688
818,Surabaya,Mangga,279,2025-04-26,Bagus,20,-7.2504,112.7688
819,Surabaya,Pepaya,449,2025-04-29,Bagus,10,-7.2504,112.7688
820,Surabaya,Apel,544,2025-05-04,Sedang,29,-7.2504,112.7688
821,Surabaya,Mangga,201,2025-04-26,Sedang,18,-7.2504,112.7688
822,Surabaya,Jeruk,515,2025-04-21,Buruk,22,-7.2504,112.7688
823,Surabaya,Apel,284,2025-04-22,Bagus,24,-7.2504,112.7688
824,Surabaya,Mangga,593,2025-04-10,Bagus,20,-7.2504,112.7688
825,Surabaya,Rambutan,946,2025-04-07,Sedang,17,-7.2504,112.7688
826,Surabaya,Mangga,501,2025-05-02,Sedang,20,-7.2504,112.7688
827,Surabaya,Mangga,977,2025-04-04,Bagus,16,-7.2504,112.7688
828,Surabaya,Rambutan,969,2025-04-04,Sedang,17,-7.2504,112.7688
829,Surabaya,Durian,798,2025-04-04,Buruk,42,-7.2504,112.7688
830,Surabaya,Pepaya,301,2025-04-09,Buruk,8,-7.2504,112.7688
831,Surabaya,Rambutan,791,2025-04-01,Sedang,12,-7.2504,112.7688
832,Surabaya,Pepaya,502,2025-05-02,Sedang,9,-7.2504,112.7688
833,Surabaya,Jeruk,584,2025-04-14,Buruk,20,-7.2504,112.7688
834,Surabaya,Jeruk,806,2025-04-06,Buruk,18,-7.2504,112.7688
835,Surabaya,Rambutan,601,2025-05-02,Buruk,13,-7.2504,112.7688
836,Surabaya,Durian,244,2025-04-21,Bagus,35,-7.2504,112.7688
837,Surabaya,Apel,546,2025-04-06,Sedang,29,-7.2504,112.7688
838,Surabaya,Jeruk,594,2025-05-02,Buruk,20,-7.2504,112.7688
839,Surabaya,Jeruk,638,2025-04-01,Sedang,20,-7.2504,112.7688
840,Surabaya,Rambutan,418,2025-04-22,Bagus,12,-7.2504,112.7688
841,Surabaya,Pepaya,475,2025-04-18,Buruk,9,-7.2504,112.7688
842,Surabaya,Mangga,302,2025-04-03,Buruk,17,-7.2504,112.7688
843,Surabaya,Durian,707,2025-04-21,Buruk,40,-7.2504,112.7688
844,Surabaya,Pisang,596,2025-04-22,Buruk,13,-7.2504,112.7688
845,Surabaya,Jeruk,301,2025-04-14,Sedang,22,-7.2504,112.7688
846,Surabaya,Durian,651,2025-04-16,Bagus,39,-7.2504,112.7688
847,Surabaya,Mangga,653,2025-05-05,Buruk,17,-7.2504,112.7688
848,Surabaya,Mangga,637,2025-05-05,Bagus,18,-7.2504,112.7688
849,Surabaya,Rambutan,916,2025-04-30,Buruk,14,-7.2504,112.7688
850,Surabaya,Apel,570,2025-04-12,Bagus,20,-7.2504,112.7688
851,Surabaya,Jeruk,966,2025-05-03,Sedang,20,-7.2504,112.7688
852,Surabaya,Durian,628,2025-04-14,Bagus,38,-7.2504,112.7688
853,Surabaya,Durian,971,2025-05-03,Sedang,35,-7.2504,112.7688
854,Surabaya,Apel,499,2025-05-05,Sedang,24,-7.2504,112.7688
855,Surabaya,Pisang,616,2025-05-01,Sedang,12,-7.2504,112.7688
856,Surabaya,Pisang,372,2025-04-19,Bagus,10,-7.2504,112.7688
857,Surabaya,Rambutan,931,2025-04-20,Buruk,12,-7.2504,112.7688
858,Surabaya,Pisang,555,2025-04-06,Sedang,14,-7.2504,112.7688
859,Surabaya,Pepaya,889,2025-04-17,Sedang,9,-7.2504,112.7688
860,Surabaya,Pepaya,486,2025-04-27,Buruk,10,-7.2504,112.7688
861,Surabaya,Pepaya,492,2025-04-05,Buruk,8,-7.2504,112.7688
862,Surabaya,Pisang,485,2025-04-30,Bagus,12,-7.2504,112.7688
863,Surabaya,Pisang,429,2025-04-04,Buruk,10,-7.2504,112.7688
864,Surabaya,Jeruk,216,2025-04-08,Buruk,21,-7.2504,112.7688
865,Surabaya,Apel,877,2025-04-12,Sedang,21,-7.2504,112.7688
866,Surabaya,Jeruk,285,2025-04-26,Sedang,21,-7.2504,112.7688
867,Surabaya,Rambutan,694,2025-04-21,Buruk,15,-7.2504,112.7688
868,Surabaya,Pepaya,552,2025-04-20,Bagus,10,-7.2504,112.7688
869,Surabaya,Mangga,871,2025-05-02,Sedang,19,-7.2504,112.7688
870,Surabaya,Rambutan,247,2025-04-30,Buruk,13,-7.2504,112.7688
871,Surabaya,Rambutan,574,2025-04-06,Bagus,12,-7.2504,112.7688
872,Surabaya,Rambutan,494,2025-04-02,Sedang,12,-7.2504,112.7688
873,Surabaya,Jeruk,492,2025-04-07,Buruk,20,-7.2504,112.7688
874,Surabaya,Jeruk,410,2025-04-16,Bagus,20,-7.2504,112.7688
875,Surabaya,Pepaya,934,2025-04-18,Bagus,8,-7.2504,112.7688
876,Surabaya,Apel,963,2025-04-26,Sedang,27,-7.2504,112.7688
877,Surabaya,Mangga,712,2025-04-22,Sedang,20,-7.2504,112.7688
878,Surabaya,Jeruk,208,2025-04-04,Bagus,20,-7.2504,112.7688
879,Surabaya,Rambutan,971,2025-05-03,Bagus,13,-7.2504,112.7688
880,Surabaya,Pepaya,216,2025-04-12,Buruk,7,-7.2504,112.7688
881,Surabaya,Mangga,996,2025-05-01,Buruk,18,-7.2504,112.7688
882,Surabaya,Jeruk,554,2025-04-25,Buruk,21,-7.2504,112.7688
883,Surabaya,Jeruk,998,2025-04-29,Buruk,21,-7.2504,112.7688
884,Surabaya,Jeruk,908,2025-04-10,Sedang,21,-7.2504,112.7688
885,Surabaya,Rambutan,380,2025-04-07,Bagus,16,-7.2504,112.7688
886,Surabaya,Rambutan,628,2025-04-16,Bagus,18,-7.2504,112.7688
887,Surabaya,Jeruk,796,2025-04-01,Sedang,18,-7.2504,112.7688
888,Surabaya,Durian,545,2025-04-26,Sedang,43,-7.2504,112.7688
889,Surabaya,Pisang,663,2025-04-19,Sedang,12,-7.2504,112.7688
890,Surabaya,Apel,673,2025-04-27,Sedang,23,-7.2504,112.7688
