ID,Lokasi,Nama_Buah,Stok_kg,Tanggal_Update,Kualitas,Harga_per_kg,Latitude,Longitude
1201,Yogyakarta,Durian,458,2025-04-10,Buruk,44,-7.7956,110.3695
1202,Yogyakarta,Jeruk,358,2025-05-02,Bagus,18,-7.7956,110.3695
1203,Yogyakarta,Apel,211,2025-04-18,Buruk,21,-7.7956,110.3695
1204,Yogyakarta,Durian,404,2025-04-09,Bagus,38,-7.7956,110.3695
1205,Yogyakarta,Pisang,876,2025-04-03,Buruk,12,-7.7956,110.3695
1206,Yogyakarta,Rambutan,893,2025-05-05,Bagus,16,-7.7956,110.3695
1207,Yogyakarta,Pisang,504,2025-04-27,Sedang,15,-7.7956,110.3695
1208,Yogyakarta,Apel,380,2025-04-06,Buruk,22,-7.7956,110.3695
1209,Yogyakarta,Pepaya,408,2025-05-03,Bagus,8,-7.7956,110.3695
1210,Yogyakarta,Durian,631,2025-04-26,Sedang,41,-7.7956,110.3695
1211,Yogyakarta,Mangga,775,2025-04-26,Buruk,15,-7.7956,110.3695
1212,Yogyakarta,Pepaya,340,2025-04-16,Sedang,9,-7.7956,110.3695
1213,Yogyakarta,Mangga,252,2025-04-29,Buruk,16,-7.7956,110.3695
1214,Yogyakarta,Apel,996,2025-04-18,Buruk,25,-7.7956,110.3695
1215,Yogyakarta,Pepaya,517,2025-04-26,Sedang,8,-7.7956,110.3695
1216,Yogyakarta,Pisang,853,2025-04-14,Buruk,10,-7.7956,110.3695
1217,Yogyakarta,Rambutan,653,2025-04-04,Sedang,14,-7.7956,110.3695
1218,Yogyakarta,Jeruk,843,2025-05-01,Buruk,22,-7.7956,110.3695
1219,Yogyakarta,Pisang,308,2025-05-02,Sedang,11,-7.7956,110.3695
1220,Yogyakarta,Durian,439,2025-04-07,Buruk,35,-7.7956,110.3695
1221,Yogyakarta,Durian,527,2025-04-18,Sedang,45,-7.7956,110.3695
1222,Yogyakarta,Durian,548,2025-05-03,Buruk,39,-7.7956,110.3695
1223,Yogyakarta,Pepaya,230,2025-04-10,Sedang,9,-7.7956,110.3695
1224,Yogyakarta,Pisang,684,2025-04-13,Bagus,14,-7.7956,110.3695
1225,Yogyakarta,Pepaya,622,2025-04-06,Buruk,7,-7.7956,110.3695
1226,Yogyakarta,Pepaya,939,2025-04-25,Buruk,7,-7.7956,110.3695
1227,Yogyakarta,Jeruk,499,2025-04-14,Sedang,18,-7.7956,110.3695
1228,Yogyakarta,Pepaya,894,2025-04-11,Sedang,9,-7.7956,110.3695
1229,Yogyakarta,Pisang,287,2025-04-13,Bagus,14,-7.7956,110.3695
1230,Yogyakarta,Rambutan,462,2025-04-14,Buruk,16,-7.7956,110.3695
1231,Yogyakarta,Durian,200,2025-05-05,Sedang,42,-7.7956,110.3695
1232,Yogyakarta,Durian,649,2025-04-01,Bagus,41,-7.7956,110.3695
1233,Yogyakarta,Pepaya,280,2025-04-03,Bagus,7,-7.7956,110.3695
1234,Yogyakarta,Rambutan,946,2025-04-09,Sedang,14,-7.7956,110.3695
1235,Yogyakarta,Mangga,503,2025-04-15,Buruk,18,-7.7956,110.3695
1236,Yogyakarta,Pisang,659,2025-04-07,Bagus,13,-7.7956,110.3695
1237,Yogyakarta,Pepaya,301,2025-04-13,Buruk,8,-7.7956,110.3695
1238,Yogyakarta,Apel,356,2025-04-30,Bagus,26,-7.7956,110.3695
1239,Yogyakarta,Durian,237,2025-04-27,Buruk,45,-7.7956,110.3695
1240,Yogyakarta,Pisang,244,2025-04-09,Sedang,11,-7.7956,110.3695
1241,Yogyakarta,Durian,974,2025-04-09,Bagus,36,-7.7956,110.3695
1242,Yogyakarta,Pepaya,866,2025-05-04,Sedang,9,-7.7956,110.3695
1243,Yogyakarta,Pisang,509,2025-04-13,Sedang,11,-7.7956,110.3695
1244,Yogyakarta,Pepaya,994,2025-04-29,Buruk,10,-7.7956,110.3695
1245,Yogyakarta,Durian,806,2025-04-17,Sedang,43,-7.7956,110.3695
1246,Yogyakarta,Durian,730,2025-04-17,Sedang,45,-7.7956,110.3695
1247,Yogyakarta,Jeruk,866,2025-05-02,Buruk,18,-7.7956,110.3695
1248,Yogyakarta,Durian,533,2025-04-03,Bagus,45,-7.7956,110.3695
1249,Yogyakarta,Jeruk,723,2025-04-30,Buruk,21,-7.7956,110.3695
1250,Yogyakarta,Jeruk,825,2025-04-28,Sedang,22,-7.7956,110.3695
1251,Yogyakarta,Jeruk,986,2025-04-11,Buruk,22,-7.7956,110.3695
1252,Yogyakarta,Apel,255,2025-04-08,Bagus,27,-7.7956,110.3695
1253,Yogyakarta,Apel,267,2025-04-09,Sedang,30,-7.7956,110.3695
1254,Yogyakarta,Pepaya,453,2025-04-26,Bagus,7,-7.7956,110.3695
1255,Yogyakarta,Apel,240,2025-04-14,Bagus,27,-7.7956,110.3695
1256,Yogyakarta,Pisang,989,2025-04-10,Bagus,11,-7.7956,110.3695
1257,Yogyakarta,Mangga,777,2025-04-29,Buruk,15,-7.7956,110.3695
1258,Yogyakarta,Apel,990,2025-04-04,Buruk,25,-7.7956,110.3695
1259,Yogyakarta,Rambutan,981,2025-04-26,Sedang,18,-7.7956,110.3695
1260,Yogyakarta,Apel,483,2025-04-03,Buruk,22,-7.7956,110.3695
1261,Yogyakarta,Durian,567,2025-04-04,Buruk,43,-7.7956,110.3695
1262,Yogyakarta,Pisang,503,2025-04-29,Buruk,11,-7.7956,110.3695
1263,Yogyakarta,Pisang,631,2025-04-04,Bagus,11,-7.7956,110.3695
1264,Yogyakarta,Pepaya,278,2025-04-14,Bagus,10,-7.7956,110.3695
1265,Yogyakarta,Mangga,840,2025-04-26,Buruk,17,-7.7956,110.3695
1266,Yogyakarta,Pisang,639,2025-04-03,Bagus,14,-7.7956,110.3695
1267,Yogyakarta,Pisang,504,2025-04-26,Bagus,10,-7.7956,110.3695
1268,Yogyakarta,Rambutan,229,2025-04-15,Buruk,13,-7.7956,110.3695
1269,Yogyakarta,Mangga,778,2025-04-20,Sedang,20,-7.7956,110.3695
1270,Yogyakarta,Rambutan,496,2025-04-17,Sedang,14,-7.7956,110.3695
1271,Yogyakarta,Durian,738,2025-04-21,Sedang,42,-7.7956,110.3695
1272,Yogyakarta,Pisang,683,2025-04-09,Sedang,11,-7.7956,110.3695
1273,Yogyakarta,Apel,952,2025-04-23,Sedang,23,-7.7956,110.3695
1274,Yogyakarta,Jeruk,973,2025-04-19,Buruk,18,-7.7956,110.3695
1275,Yogyakarta,Durian,259,2025-05-02,Buruk,36,-7.7956,110.3695
1276,Yogyakarta,Durian,301,2025-04-28,Sedang,42,-7.7956,110.3695
1277,Yogyakarta,Mangga,576,2025-04-09,Sedang,20,-7.7956,110.3695
1278,Yogyakarta,Pisang,611,2025-04-05,Bagus,13,-7.7956,110.3695
1279,Yogyakarta,Pepaya,537,2025-04-19,Bagus,10,-7.7956,110.3695
1280,Yogyakarta,Pisang,267,2025-04-02,Buruk,11,-7.7956,110.3695
1281,Yogyakarta,Apel,944,2025-04-25,Bagus,21,-7.7956,110.3695
1282,Yogyakarta,Durian,377,2025-04-07,Buruk,35,-7.7956,110.3695
1283,Yogyakarta,Durian,793,2025-04-17,Sedang,37,-7.7956,110.3695
1284,Yogyakarta,Apel,716,2025-04-02,Sedang,30,-7.7956,110.3695
1285,Yogyakarta,Pisang,873,2025-05-04,Buruk,15,-7.7956,110.3695
1286,Yogyakarta,Pisang,319,2025-04-15,Sedang,14,-7.7956,110.3695
1287,Yogyakarta,Pepaya,482,2025-04-18,Sedang,9,-7.7956,110.3695
1288,Yogyakarta,Pisang,562,2025-04-15,Bagus,14,-7.7956,110.3695
1289,Yogyakarta,Rambutan,398,2025-04-25,Bagus,16,-7.7956,110.3695
1290,Yogyakarta,Rambutan,976,2025-05-02,Bagus,15,-7.7956,110.3695
1291,Yogyakarta,Pepaya,344,2025-04-29,Sedang,7,-7.7956,110.3695
1292,Yogyakarta,Pepaya,932,2025-04-19,Sedang,9,-7.7956,110.3695
1293,Yogyakarta,Durian,259,2025-04-03,Buruk,44,-7.7956,110.3695
1294,Yogyakarta,Rambutan,992,2025-04-04,Buruk,16,-7.7956,110.3695
1295,Yogyakarta,Mangga,910,2025-04-21,Buruk,17,-7.7956,110.3695
1296,Yogyakarta,Mangga,472,2025-05-03,Bagus,19,-7.7956,110.3695
1297,Yogyakarta,Jeruk,972,2025-05-02,Buruk,22,-7.7956,110.3695
1298,Yogyakarta,Rambutan,517,2025-04-09,Buruk,15,-7.7956,110.3695
1299,Yogyakarta,Jeruk,554,2025-04-16,Buruk,22,-7.7956,110.3695
1300,Yogyakarta,Durian,278,2025-04-27,Sedang,40,-7.7956,110.3695
1301,Yogyakarta,Pepaya,842,2025-04-13,Sedang,10,-7.7956,110.3695
1302,Yogyakarta,Jeruk,552,2025-04-07,Sedang,20,-7.7956,110.3695
1303,Yogyakarta,Mangga,872,2025-04-11,Bagus,15,-7.7956,110.3695
1304,Yogyakarta,Pepaya,975,2025-04-04,Sedang,9,-7.7956,110.3695
1305,Yogyakarta,Apel,679,2025-04-14,Buruk,24,-7.7956,110.3695
1306,Yogyakarta,Rambutan,694,2025-05-03,Sedang,17,-7.7956,110.3695
1307,Yogyakarta,Jeruk,532,2025-05-03,Bagus,19,-7.7956,110.3695
1308,Yogyakarta,Durian,463,2025-04-08,Buruk,40,-7.7956,110.3695
1309,Yogyakarta,Mangga,261,2025-04-23,Bagus,19,-7.7956,110.3695
1310,Yogyakarta,Apel,283,2025-04-04,Bagus,25,-7.7956,110.3695
1311,Yogyakarta,Rambutan,364,2025-04-01,Sedang,16,-7.7956,110.3695
1312,Yogyakarta,Rambutan,843,2025-04-28,Sedang,15,-7.7956,110.3695
1313,Yogyakarta,Pepaya,893,2025-04-20,Bagus,7,-7.7956,110.3695
1314,Yogyakarta,Durian,389,2025-04-24,Buruk,39,-7.7956,110.3695
1315,Yogyakarta,Jeruk,885,2025-04-21,Sedang,19,-7.7956,110.3695
1316,Yogyakarta,Pisang,924,2025-04-29,Sedang,13,-7.7956,110.3695
1317,Yogyakarta,Durian,329,2025-04-18,Buruk,39,-7.7956,110.3695
1318,Yogyakarta,Jeruk,319,2025-04-17,Sedang,22,-7.7956,110.3695
1319,Yogyakarta,Mangga,465,2025-05-04,Sedang,18,-7.7956,110.3695
1320,Yogyakarta,Pisang,500,2025-04-22,Bagus,12,-7.7956,110.3695
1321,Yogyakarta,Pepaya,978,2025-05-01,Sedang,9,-7.7956,110.3695
1322,Yogyakarta,Apel,935,2025-04-17,Sedang,20,-7.7956,110.3695
1323,Yogyakarta,Durian,855,2025-04-16,Buruk,36,-7.7956,110.3695
1324,Yogyakarta,Mangga,951,2025-04-20,Buruk,19,-7.7956,110.3695
1325,Yogyakarta,Rambutan,923,2025-04-15,Sedang,18,-7.7956,110.3695
1326,Yogyakarta,Jeruk,324,2025-04-20,Sedang,19,-7.7956,110.3695
1327,Yogyakarta,Pisang,231,2025-04-06,Buruk,12,-7.7956,110.3695
1328,Yogyakarta,Pepaya,952,2025-04-07,Buruk,7,-7.7956,110.3695
1329,Yogyakarta,Apel,923,2025-04-04,Buruk,28,-7.7956,110.3695
1330,Yogyakarta,Pisang,356,2025-04-09,Sedang,11,-7.7956,110.3695
1331,Yogyakarta,Jeruk,557,2025-04-07,Sedang,19,-7.7956,110.3695
1332,Yogyakarta,Rambutan,596,2025-04-26,Buruk,16,-7.7956,110.3695
1333,Yogyakarta,Pepaya,404,2025-04-16,Bagus,7,-7.7956,110.3695
1334,Yogyakarta,Jeruk,757,2025-04-04,Buruk,20,-7.7956,110.3695
1335,Yogyakarta,Pepaya,976,2025-04-26,Sedang,7,-7.7956,110.3695
1336,Yogyakarta,Durian,477,2025-04-27,Buruk,43,-7.7956,110.3695
1337,Yogyakarta,Jeruk,960,2025-04-30,Buruk,18,-7.7956,110.3695
1338,Yogyakarta,Apel,615,2025-04-24,Buruk,27,-7.7956,110.3695
1339,Yogyakarta,Mangga,717,2025-04-13,Sedang,20,-7.7956,110.3695
1340,Yogyakarta,Jeruk,334,2025-04-25,Buruk,20,-7.7956,110.3695
1341,Yogyakarta,Apel,848,2025-05-02,Buruk,28,-7.7956,110.3695
1342,Yogyakarta,Mangga,971,2025-05-02,Bagus,19,-7.7956,110.3695
1343,Yogyakarta,Rambutan,482,2025-04-30,Bagus,12,-7.7956,110.3695
1344,Yogyakarta,Rambutan,431,2025-04-07,Buruk,13,-7.7956,110.3695
1345,Yogyakarta,Durian,934,2025-04-30,Sedang,38,-7.7956,110.3695
1346,Yogyakarta,Pepaya,566,2025-04-30,Sedang,9,-7.7956,110.3695
